,기간,구분,기온(℃),강수량(mm),평균운량(10%)
1,2016.01,서울시,-3.2,1.0,4.0
2,2016.02,서울시,0.2,47.6,3.7
3,2016.03,서울시,7.0,40.5,3.6
4,2016.04,서울시,14.1,76.8,4.8
5,2016.05,서울시,19.6,160.5,4.6
6,2016.06,서울시,23.6,54.4,5.3
7,2016.07,서울시,26.2,358.2,7.2
8,2016.08,서울시,28.0,67.1,4.6
9,2016.09,서울시,23.1,33.0,5.8
10,2016.10,서울시,16.1,74.8,5.3
11,2016.11,서울시,6.8,16.7,4.7
12,2016.12,서울시,1.2,61.1,4.7
13,2017.01,서울시,-1.8,14.9,3.5
14,2017.02,서울시,-0.2,11.1,2.8
15,2017.03,서울시,6.3,7.9,3.9
16,2017.04,서울시,13.9,61.6,4.4
17,2017.05,서울시,19.5,16.1,3.9
18,2017.06,서울시,23.3,66.6,4.7
19,2017.07,서울시,26.9,621.0,7.9
20,2017.08,서울시,25.9,297.0,7.0
21,2017.09,서울시,22.1,35.0,4.2
22,2017.10,서울시,16.4,26.5,4.5
23,2017.11,서울시,5.6,40.7,4.2
24,2017.12,서울시,-1.9,34.8,3.9
25,2018.01,서울시,-4.0,8.5,4.3
26,2018.02,서울시,-1.6,29.6,3.9
27,2018.03,서울시,8.1,49.5,5.2
28,2018.04,서울시,13.0,130.3,4.7
29,2018.05,서울시,18.2,222.0,5.4
30,2018.06,서울시,23.1,171.5,5.9
31,2018.07,서울시,27.8,185.6,5.1
32,2018.08,서울시,28.8,202.6,5.8
33,2018.09,서울시,21.5,68.5,5.1
34,2018.10,서울시,13.1,120.5,3.7
35,2018.11,서울시,7.8,79.1,4.0
36,2018.12,서울시,-0.6,16.4,3.8
37,2019.01,서울시,-0.9,0.0,3.1
38,2019.02,서울시,1.0,23.8,4.8
39,2019.03,서울시,7.1,26.8,4.7
40,2019.04,서울시,12.1,47.3,4.9
41,2019.05,서울시,19.4,37.8,3.8
42,2019.06,서울시,22.5,74.0,5.4
43,2019.07,서울시,25.9,194.4,7.2
44,2019.08,서울시,27.2,190.5,5.6
45,2019.09,서울시,22.6,139.8,6.6
46,2019.10,서울시,16.4,55.5,4.2
47,2019.11,서울시,7.6,78.8,4.1
48,2019.12,서울시,1.4,22.6,4.4
49,2020.01,서울시,1.6,60.5,4.8
50,2020.02,서울시,2.5,53.1,4.7
51,2020.03,서울시,7.7,16.3,3.4
52,2020.04,서울시,11.1,16.9,3.1
53,2020.05,서울시,18.0,112.4,6.3
54,2020.06,서울시,23.9,139.6,5.9
55,2020.07,서울시,24.1,270.4,7.5
56,2020.08,서울시,26.5,675.7,8.1
57,2020.09,서울시,21.4,181.5,5.8
58,2020.10,서울시,14.3,0.0,3.7
59,2020.11,서울시,8.0,120.1,4.1
60,2020.12,서울시,-0.3,4.6,3.3
